#,Time,Time,Nome,Defesas,Jogos sem ser vazado,Pênalti defendido,Defesas de dentro da área,Saídas do gol,Notas Sofascore,Nota Sofascore
1,Borussia Dortmund,,Gregor Kobel,46,6,1,31,0,7.54,7.54
2,Atlético Madrid,,Jan Oblak,38,2,0,21,4,7.24,7.24
3,Paris Saint-Germain,,Gianluigi Donnarumma,38,3,0,21,4,7.03,7.03
4,Real Madrid,,Andriy Lunin,35,2,1,21,3,7.58,7.58
5,Napoli,,Alex Meret,33,2,0,20,4,7.29,7.29
6,Young Boys,,Anthony Racioppi,31,1,0,23,1,7.40,7.40
7,FK Crvena zvezda,,Omri Glazer,31,0,0,19,1,7.17,7.17
8,FC København,,Kamil Grabara,30,2,0,16,2,7.04,7.04
9,Newcastle United,,Nick Pope,25,1,0,14,1,7.70,7.70
10,Inter,,Yann Sommer,25,4,0,20,0,7.54,7.54
11,Red Bull Salzburg,,Alexander Schlager,25,2,0,18,1,7.53,7.53
12,Shakhtar Donetsk,,Dmytro Riznyk,25,2,0,17,4,7.40,7.40
13,Benfica,,Anatoliy Trubin,24,0,0,18,3,7.12,7.12
14,RC Lens,,Brice Samba,23,0,0,14,2,7.08,7.08
15,Celtic,,Joe Hart,23,0,2,13,0,7.02,7.02
16,Sporting Braga,,Matheus,22,0,0,16,3,7.08,7.08
17,Lazio,,Ivan Provedel,21,3,0,13,2,7.08,7.08
18,Barcelona,,Marc-André ter Stegen,21,2,0,14,3,7.04,7.04
19,PSV Eindhoven,,Walter Benítez,21,1,0,16,1,6.86,6.86
20,FC Bayern München,,Manuel Neuer,20,4,0,16,5,7.02,7.02
21,FC Porto,,Diogo Costa,20,2,0,15,7,6.94,6.94
22,Manchester United,,André Onana,20,1,1,8,1,6.87,6.87
23,1. FC Union Berlin,,Frederik Rønnow,19,0,1,13,0,7.10,7.10
24,Real Sociedad,,Álex Remiro,19,4,0,14,2,7.06,7.06
25,Milan,,Mike Maignan,18,1,0,9,3,7.27,7.27
26,Arsenal,,David Raya,17,4,0,8,4,7.17,7.17
27,Royal Antwerp FC,,Jean Butez,16,0,0,12,1,6.58,6.58
28,RB Leipzig,,Janis Blaswich,13,0,0,11,2,6.88,6.88
29,Galatasaray,,Fernando Muslera,13,0,0,8,11,6.87,6.87
30,Real Madrid,,Kepa Arrizabalaga,10,1,0,6,0,7.03,7.03
31,Feyenoord,,Justin Bijlow,10,0,0,9,6,6.78,6.78
32,Sevilla,,Ørjan Nyland,8,0,0,7,0,7.35,7.35
33,Sevilla,,Marko Dmitrović,8,0,0,5,2,6.73,6.73
34,Manchester City,,Stefan Ortega,8,0,0,4,5,6.67,6.67
35,Manchester City,,Ederson,7,1,0,5,3,6.83,6.83
36,RB Leipzig,,Péter Gulácsi,7,0,0,4,1,6.67,6.67
37,FC Bayern München,,Sven Ulreich,7,0,0,7,1,6.67,6.67
38,Barcelona,,Iñaki Peña,6,0,0,6,0,7.00,7.00
39,Borussia Dortmund,,Alexander Meyer,4,0,0,3,0,7.60,7.60
40,Royal Antwerp FC,,Senne Lammens,4,0,0,4,0,7.10,7.10
41,Arsenal,,Aaron Ramsdale,4,0,0,2,0,7.00,7.00
42,Real Madrid,,Thibaut Courtois,3,1,0,2,0,7.50,7.50
43,Feyenoord,,Timon Wellenreuther,3,1,0,0,0,6.75,6.75
44,Inter,,Emil Audero,2,0,0,1,2,6.50,6.50
45,Milan,,Marco Sportiello,1,0,0,0,0,6.90,6.90
46,Young Boys,,David von Ballmoos,0,0,0,0,0,6.40,6.40
47,Newcastle United,,Martin Dúbravka,0,0,0,0,0,6.20,6.20
